Czas [ms];Fluorescencja [j.f];Ciśnienie [mmHg]
440;2075894,00;0,00
480;2074429,00;0,03
520;2072566,00;0,07
560;2071358,00;-0,07
600;2070369,00;-0,17
640;2070121,00;-0,20
680;2069086,00;-0,27
720;2068929,00;-0,40
760;2067921,00;-0,57
800;2068796,00;-0,53
840;2068055,00;-0,27
880;2066765,00;-0,03
920;2067379,00;0,00
960;2067814,00;-0,20
1000;2066045,00;-0,23
1040;2066945,00;-0,20
1080;2067418,00;-0,17
1120;2068072,00;-0,27
1160;2066626,00;-0,23
1200;2064487,00;-0,20
1240;2064021,00;-0,20
1280;2062782,00;-0,07
1320;2061051,00;-0,07
1360;2060670,00;-0,07
1400;2060040,00;-0,13
1440;2058827,00;0,00
1480;2057686,00;-0,10
1520;2058361,00;-0,20
1560;2058373,00;-0,47
1600;2057543,00;-0,43
1640;2057911,00;-0,47
1680;2056915,00;-0,43
1720;2056699,00;-0,37
1760;2057823,00;-0,33
1800;2057142,00;-0,23
1840;2058338,00;-0,23
1880;2058763,00;-0,13
1920;2058144,00;-0,23
1960;2058591,00;-0,33
2000;2058673,00;-0,27
2040;2059635,00;-0,17
2080;2060177,00;-0,10
2120;2059141,00;-0,27
2160;2061567,00;-0,17
2200;2061433,00;-0,23
2240;2062042,00;-0,20
2280;2063693,00;-0,30
2320;2062849,00;-0,27
2360;2063917,00;-0,13
2400;2063845,00;-0,03
2440;2064278,00;0,13
2480;2065542,00;0,10
2520;2067356,00;0,10
2560;2065972,00;0,13
2600;2066320,00;0,20
2640;2066281,00;0,27
2680;2068195,00;0,07
2720;2067911,00;0,07
2760;2066366,00;0,00
2800;2066140,00;0,17
2840;2064975,00;0,10
2880;2065682,00;0,13
2920;2064656,00;0,10
2960;2064799,00;0,07
3000;2063605,00;-0,10
3040;2063329,00;-0,20
3080;2063747,00;-0,37
3120;2063741,00;-0,43
3160;2063742,00;-0,50
3200;2062772,00;-0,50
3240;2063629,00;-0,43
3280;2064479,00;-0,37
3320;2063143,00;-0,30
3360;2064570,00;-0,20
3400;2065545,00;-0,27
3440;2064114,00;-0,13
3480;2063463,00;-0,23
3520;2063892,00;-0,17
3560;2062561,00;-0,30
3600;2061718,00;-0,37
3640;2061954,00;-0,43
3680;2060066,00;-0,43
3720;2059282,00;-0,27
3760;2059972,00;-0,10
3800;2059136,00;0,00
3840;2059985,00;0,07
3880;2060198,00;-0,03
3920;2058589,00;-0,13
3960;2058352,00;-0,27
4000;2058610,00;-0,30
